,Id,URL,Price,Specs,Availability
15,1676951,https://housinganywhere.com/room/1676951/de/Berlin/mehringdamm,€770/Month (Bills included),Private room•10 m²•5 housemates,From 1 Jan 2023
16,1826490,https://housinganywhere.com/room/1826490/de/Berlin/friedrichsbrunner-stra-e,€950/Month (Bills included),Private room•18 m²•1 housemate,From 1 Feb 2023
17,1782437,https://housinganywhere.com/room/1782437/de/Berlin/lichtenrader-stra-e,From€1999/Month (Bills included),Apartment•2 Bedrooms •50 m²,From 16 Jan 2023
18,1888309,https://housinganywhere.com/room/1888309/de/Berlin/lichtenrader-stra-e,From€1999/Month (Bills included),Apartment•2 Bedrooms •50 m²,From 1 Feb 2023
19,1888592,https://housinganywhere.com/room/1888592/de/Berlin/delbr-ckstra-e,€1075/Month (Bills included),Private room•17 m²•6 housemates,From 4 Mar 2023
20,1895561,https://housinganywhere.com/room/1895561/de/Berlin/krossener-stra-e,€981/Month (Bills included),Private room•13 m²•4 housemates,From 16 Feb 2023
21,1674780,https://housinganywhere.com/room/1674780/de/Berlin/kaubstra-e,€1630/Month (Bills included),Studio•43 m²•Space for 2 people,From 2 Mar 2023
22,1629196,https://housinganywhere.com/room/1629196/de/Berlin/heidenfeldstra-e,€1300/Month (Bills included),Studio•35 m²•Space for 2 people,From 2 Mar 2023
23,1713427,https://housinganywhere.com/room/1713427/de/Berlin/urbanstra-e,€1309/Month (Bills included),Studio•31 m²•Space for 1 person,From 1 Apr 2023
24,1856534,https://housinganywhere.com/room/1856534/de/Berlin/kors-rer-stra-e,€1875/Month (Bills included),Apartment•1 bedroom•60 m²,From 27 May 2023
25,1888856,https://housinganywhere.com/room/1888856/de/Berlin/klara-franke-stra-e,€1090/Month (Bills included),Private room•14 m²•3 housemates,From 21 Dec 2022
26,1569487,https://housinganywhere.com/room/1569487/de/Berlin/osnabr-cker-stra-e,€1895/Month (Bills included),Apartment•2 Bedrooms •53 m²,From 27 Dec 2022
27,1859429,https://housinganywhere.com/room/1859429/de/Berlin/windscheidstra-e,€790/Month (Bills included),Private room•9 m²•4 housemates,From 1 Jan 2023
28,1887950,https://housinganywhere.com/room/1887950/de/Berlin/klara-franke-stra-e,€1090/Month (Bills included),Private room•15 m²•3 housemates,From 4 Jan 2023
29,1886197,https://housinganywhere.com/room/1886197/de/Berlin/brandenburgische-stra-e,€2470/Month (Bills included),Apartment•1 bedroom•96 m²,From 7 Jan 2023
30,1891743,https://housinganywhere.com/room/1891743/de/Berlin/klara-franke-stra-e,€1090/Month (Bills included),Private room•14 m²•3 housemates,From 19 Jan 2023
